"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0500000US05045","Faulkner County, Arkansas","49309","546","30718","724","18591","780",
"0500000US05047","Franklin County, Arkansas","7048","198","5494","260","1554","257",
"0500000US05049","Fulton County, Arkansas","4757","242","4029","233","728","152",
"0500000US05051","Garland County, Arkansas","43667","817","30296","842","13371","840",
"0500000US05053","Grant County, Arkansas","6978","218","5634","263","1344","248",
"0500000US05055","Greene County, Arkansas","17994","358","11910","507","6084","549",
"0500000US05057","Hempstead County, Arkansas","7479","306","5366","279","2113","293",
"0500000US05059","Hot Spring County, Arkansas","12310","358","9414","426","2896","338",
"0500000US05061","Howard County, Arkansas","5098","214","3698","227","1400","197",
"0500000US05063","Independence County, Arkansas","14638","398","10128","429","4510","377",
"0500000US05065","Izard County, Arkansas","5232","284","3946","244","1286","214",
"0500000US05067","Jackson County, Arkansas","6076","214","3978","255","2098","258",
"0500000US05069","Jefferson County, Arkansas","24017","603","14839","610","9178","677",
"0500000US05071","Johnson County, Arkansas","10316","265","7641","322","2675","327",
"0500000US05073","Lafayette County, Arkansas","2622","183","2078","155","544","134",
"0500000US05075","Lawrence County, Arkansas","6613","165","4401","232","2212","241",
"0500000US05077","Lee County, Arkansas","2690","195","1586","178","1104","184",
"0500000US05079","Lincoln County, Arkansas","3592","211","2733","251","859","207",
"0500000US05081","Little River County, Arkansas","4820","284","3859","263","961","184",
"0500000US05083","Logan County, Arkansas","8521","269","6680","282","1841","252",
"0500000US05085","Lonoke County, Arkansas","28554","441","21403","597","7151","579",
"0500000US05087","Madison County, Arkansas","6463","253","5139","304","1324","284",
"0500000US05089","Marion County, Arkansas","7664","284","6234","285","1430","232",
"0500000US05091","Miller County, Arkansas","16359","392","10530","468","5829","462",
"0500000US05093","Mississippi County, Arkansas","15452","425","9264","439","6188","472",
"0500000US05095","Monroe County, Arkansas","2790","160","1746","177","1044","192",
"0500000US05097","Montgomery County, Arkansas","3715","213","2993","190","722","158",
"0500000US05099","Nevada County, Arkansas","3251","244","2471","223","780","161",
"0500000US05101","Newton County, Arkansas","3179","179","2433","176","746","171",
"0500000US05103","Ouachita County, Arkansas","8624","337","6117","333","2507","340",
"0500000US05105","Perry County, Arkansas","4094","178","3291","207","803","169",
"0500000US05107","Phillips County, Arkansas","6023","273","3083","299","2940","298",
"0500000US05109","Pike County, Arkansas","4082","188","3061","191","1021","153",
"0500000US05111","Poinsett County, Arkansas","8792","290","5666","347","3126","326",
"0500000US05113","Polk County, Arkansas","7898","286","6232","349","1666","291",
"0500000US05115","Pope County, Arkansas","24348","511","17137","596","7211","562",
"0500000US05117","Prairie County, Arkansas","3256","150","2467","174","789","168",
"0500000US05119","Pulaski County, Arkansas","172409","1380","98266","1975","74143","2046",
"0500000US05121","Randolph County, Arkansas","7334","231","5394","255","1940","217",
"0500000US05123","St. Francis County, Arkansas","7783","327","4319","284","3464","374",
"0500000US05125","Saline County, Arkansas","50203","460","39268","914","10935","823",
"0500000US05127","Scott County, Arkansas","3985","222","3112","233","873","188",
"0500000US05129","Searcy County, Arkansas","3197","204","2538","177","659","155",
"0500000US05131","Sebastian County, Arkansas","52181","596","32034","796","20147","875",
"0500000US05133","Sevier County, Arkansas","5622","295","3802","328","1820","278",
"0500000US05135","Sharp County, Arkansas","6856","260","5405","262","1451","263",
"0500000US05137","Stone County, Arkansas","5262","313","3996","326","1266","280",
"0500000US05139","Union County, Arkansas","15002","384","10905","468","4097","438",
"0500000US05141","Van Buren County, Arkansas","7432","318","5788","335","1644","279",
"0500000US05143","Washington County, Arkansas","97184","901","54053","1117","43131","1167",
"0500000US05145","White County, Arkansas","29629","598","20482","652","9147","621",
"0500000US05147","Woodruff County, Arkansas","2692","113","1743","155","949","159",
